nli_model,data_loader_type,accuracy
tasksource/deberta-base-long-nli,regular,0.6037410926365796
ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli,regular,0.5205463182897863
cross-encoder/nli-deberta-v3-base,regular,0.47553444180522564
cross-encoder/nli-roberta-base,regular,0.5069477434679335
ynie/albert-xxlarge-v2-snli_mnli_fever_anli_R1_R2_R3-nli,regular,0.8490498812351543
tasksource/deberta-base-long-nli,split_conjunction,0.44073634204275536
ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli,split_conjunction,0.38212589073634207
cross-encoder/nli-deberta-v3-base,split_conjunction,0.4893705463182898
cross-encoder/nli-roberta-base,split_conjunction,0.23788598574821854
ynie/albert-xxlarge-v2-snli_mnli_fever_anli_R1_R2_R3-nli,split_conjunction,0.4126484560570071
ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli,logic_attack,0.5842636579572447
ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli,regular_with_and,0.5858669833729216
cross-encoder/nli-deberta-v3-base,regular_with_and,0.5754750593824228
cross-encoder/nli-roberta-base,regular_with_and,0.5369952494061758
ynie/albert-xxlarge-v2-snli_mnli_fever_anli_R1_R2_R3-nli,regular_with_and,0.8681710213776722
tasksource/deberta-base-long-nli,regular_with_and,0.5982185273159145
cross-encoder/nli-deberta-v3-base,logic_attack,0.565498812351544
cross-encoder/nli-roberta-base,logic_attack,0.5279097387173397
ynie/albert-xxlarge-v2-snli_mnli_fever_anli_R1_R2_R3-nli,logic_attack,0.8618764845605701
tasksource/deberta-base-long-nli,logic_attack,0.6450118764845606
