nli_model,data_loader_type,accuracy_entail,accuracy_consistent,avg_entail_proba,avg_consistent_proba
ynie_roberta_large_snli_mnli_fever_anli_R1_R2_R3_nli,regular_with_and,0.5859,0.5921,0.5312,0.5804
ynie_roberta_large_snli_mnli_fever_anli_R1_R2_R3_nli,split_conjunction,0.3821,0.3832,0.3533,0.3887
ynie_roberta_large_snli_mnli_fever_anli_R1_R2_R3_nli,regular,0.5205,0.5323,0.4695,0.5228
ynie_roberta_large_snli_mnli_fever_anli_R1_R2_R3_nli,logic_attack,0.5843,0.5960,0.5223,0.5785
cross_encoder_nli_roberta_base,regular_with_and,0.5370,0.5381,0.5147,0.5377
cross_encoder_nli_roberta_base,split_conjunction,0.2379,0.2384,0.2423,0.2582
cross_encoder_nli_roberta_base,regular,0.5069,0.5081,0.4856,0.5114
cross_encoder_nli_roberta_base,logic_attack,0.5279,0.5287,0.5051,0.5284
cross_encoder_nli_deberta_v3_base,regular_with_and,0.5755,0.5846,0.5685,0.5892
cross_encoder_nli_deberta_v3_base,split_conjunction,0.4894,0.4970,0.4842,0.5050
cross_encoder_nli_deberta_v3_base,regular,0.4755,0.4818,0.4706,0.4884
cross_encoder_nli_deberta_v3_base,logic_attack,0.5655,0.5717,0.5604,0.5762
ynie_albert_xxlarge_v2_snli_mnli_fever_anli_R1_R2_R3_nli,regular_with_and,0.8682,0.8707,0.8272,0.8672
ynie_albert_xxlarge_v2_snli_mnli_fever_anli_R1_R2_R3_nli,split_conjunction,0.4126,0.4138,0.4012,0.4842
ynie_albert_xxlarge_v2_snli_mnli_fever_anli_R1_R2_R3_nli,regular,0.8490,0.8538,0.7995,0.8498
ynie_albert_xxlarge_v2_snli_mnli_fever_anli_R1_R2_R3_nli,logic_attack,0.8619,0.8667,0.8189,0.8660
tasksource_deberta_base_long_nli,regular_with_and,0.5982,0.8891,0.5030,0.8569
tasksource_deberta_base_long_nli,split_conjunction,0.4407,0.8083,0.3771,0.7523
tasksource_deberta_base_long_nli,regular,0.6037,0.8865,0.5224,0.8515
tasksource_deberta_base_long_nli,logic_attack,0.6450,0.8865,0.5553,0.8527
